x,y,r (pixel),is_circle,r (um),group
484,124,109,unmarked,109,0
518,620,96,unmarked,96,1
758,158,71,unmarked,71,2
212,70,73,unmarked,73,3
112,392,83,unmarked,83,4
354,356,146,unmarked,146,5
502,132,123,unmarked,123,6
326,184,61,unmarked,61,7
622,228,77,unmarked,77,8
634,334,132,unmarked,132,9
364,320,144,unmarked,144,10
342,298,145,unmarked,145,10
94,416,83,unmarked,83,11
636,358,97,unmarked,97,12
504,110,110,unmarked,110,13
318,344,87,unmarked,87,14
452,110,138,unmarked,138,15
182,220,77,unmarked,77,16
622,488,131,unmarked,131,17
664,518,81,unmarked,81,18
672,372,78,unmarked,78,19
196,580,91,unmarked,91,20
306,398,148,unmarked,148,21
216,564,112,unmarked,112,22
360,510,69,unmarked,69,23
462,134,132,unmarked,132,24
658,350,126,unmarked,126,25
140,400,124,unmarked,124,26
142,426,138,unmarked,138,27
480,102,86,unmarked,86,28
336,496,148,unmarked,148,29
276,334,126,unmarked,126,30
138,200,126,unmarked,126,31
160,210,125,unmarked,125,31
510,152,143,unmarked,143,32
478,150,144,unmarked,144,32
330,314,130,unmarked,130,33
306,376,144,unmarked,144,34
174,238,104,unmarked,104,35
526,446,75,unmarked,75,36
712,342,116,unmarked,116,37
84,390,112,unmarked,112,38
166,586,96,unmarked,96,39
344,330,124,unmarked,124,40
686,356,105,unmarked,105,41
208,598,83,unmarked,83,42
174,530,138,unmarked,138,43
602,242,118,unmarked,118,44
600,218,101,unmarked,101,45
226,586,96,unmarked,96,46
2,568,85,unmarked,85,47
356,534,97,unmarked,97,48
820,460,93,unmarked,93,49
286,368,141,unmarked,141,50
650,382,89,unmarked,89,51
350,186,77,unmarked,77,52
524,304,71,unmarked,71,53
240,458,47,unmarked,47,54
622,264,102,unmarked,102,55
252,76,75,unmarked,75,56
662,66,59,unmarked,59,57
758,284,56,unmarked,56,58
202,258,116,unmarked,116,59
684,506,84,unmarked,84,60
208,536,124,unmarked,124,61
232,80,80,unmarked,80,62
120,370,109,unmarked,109,63
236,610,106,unmarked,106,64
500,286,102,unmarked,102,65
642,226,84,unmarked,84,66
118,432,119,unmarked,119,67
688,392,103,unmarked,103,68
634,246,98,unmarked,98,69
496,330,83,unmarked,83,70
550,444,82,unmarked,82,71
194,60,80,unmarked,80,72
658,400,102,unmarked,102,73
540,322,81,unmarked,81,74
142,378,105,unmarked,105,75
734,666,84,unmarked,84,76
322,148,105,unmarked,105,77
668,540,94,unmarked,94,78
686,530,94,unmarked,94,78
650,502,102,unmarked,102,79
692,334,92,unmarked,92,80
184,604,67,unmarked,67,81
720,152,106,unmarked,106,82
752,178,64,unmarked,64,83
302,180,110,unmarked,110,84
292,346,99,unmarked,99,85
298,326,100,unmarked,100,85
536,286,89,unmarked,89,86
198,236,97,unmarked,97,87
238,44,109,unmarked,109,88
346,212,92,unmarked,92,89
380,512,82,unmarked,82,90
544,470,77,unmarked,77,91
532,640,121,unmarked,121,92
770,140,105,unmarked,105,93
372,166,94,unmarked,94,94
622,206,83,unmarked,83,95
442,364,81,unmarked,81,96
190,562,71,unmarked,71,97
60,254,44,unmarked,44,98
778,170,74,unmarked,74,99
170,190,84,unmarked,84,100
506,604,82,unmarked,82,101
506,450,73,unmarked,73,102
212,220,93,unmarked,93,103
734,170,83,unmarked,83,104
448,336,68,unmarked,68,105
84,260,53,unmarked,53,106
352,166,81,unmarked,81,107
418,248,45,unmarked,45,108
472,322,71,unmarked,71,109
36,90,93,unmarked,93,110
100,314,57,unmarked,57,111
566,330,38,unmarked,38,112
334,358,84,unmarked,84,113
218,444,73,unmarked,73,114
314,294,87,unmarked,87,115
700,372,83,unmarked,83,116
400,502,86,unmarked,86,117
670,86,84,unmarked,84,118
186,624,65,unmarked,65,119
742,144,86,unmarked,86,120
636,80,76,unmarked,76,121
530,386,37,unmarked,37,122
650,202,89,unmarked,89,123
158,410,75,unmarked,75,124
812,486,56,unmarked,56,125
398,246,58,unmarked,58,126
524,466,46,unmarked,46,127
214,618,65,unmarked,65,128
550,346,56,unmarked,56,129
356,486,78,unmarked,78,130
808,440,71,unmarked,71,131
682,68,67,unmarked,67,132
436,430,35,unmarked,35,133
640,534,75,unmarked,75,134
84,332,45,unmarked,45,135
416,418,40,unmarked,40,136
836,436,95,unmarked,95,137
668,46,73,unmarked,73,138
170,566,67,unmarked,67,139
392,226,64,unmarked,64,140
64,324,41,unmarked,41,141
562,284,44,unmarked,44,142
276,238,34,unmarked,34,143
74,414,71,unmarked,71,144
802,282,41,unmarked,41,145
584,508,34,unmarked,34,146
214,50,56,unmarked,56,147
538,610,74,unmarked,74,148
172,168,72,unmarked,72,149
496,356,44,unmarked,44,150
714,660,70,unmarked,70,151
266,580,27,unmarked,27,152
298,584,54,unmarked,54,153
700,494,67,unmarked,67,154
426,118,59,unmarked,59,155
260,42,38,unmarked,38,156
76,280,36,unmarked,36,157
144,622,28,unmarked,28,158
524,130,66,unmarked,66,159
348,144,60,unmarked,60,160
686,262,51,unmarked,51,161
582,372,44,unmarked,44,162
778,280,36,unmarked,36,163
486,442,44,unmarked,44,164
216,330,20,unmarked,20,165
504,470,41,unmarked,41,166
538,406,32,unmarked,32,167
138,530,27,unmarked,27,168
376,552,50,unmarked,50,169
196,90,42,unmarked,42,170
174,380,44,unmarked,44,171
196,278,36,unmarked,36,172
116,646,33,unmarked,33,173
380,490,48,unmarked,48,174
590,402,38,unmarked,38,175
460,424,33,unmarked,33,176
418,362,38,unmarked,38,177
788,494,47,unmarked,47,178
440,252,44,unmarked,44,179
440,408,34,unmarked,34,180
850,336,39,unmarked,39,181
168,354,34,unmarked,34,182
604,298,24,unmarked,24,183
218,270,40,unmarked,40,184
106,280,23,unmarked,23,185
562,250,20,unmarked,20,186
464,72,60,unmarked,60,187
664,222,46,unmarked,46,188
716,62,30,unmarked,30,189
506,392,22,unmarked,22,190
